Business Name,Phone,Address,Website Status,Original URL,Google Maps Link
Confecciones Macu Polo,686 84 86 70,"Av. d'Alacant, 80, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=10035072329695915445
Tododelantales,966 53 58 90,"Carrer Banyeres de Mariola, 5, Nave A, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=1678663827611778578
Amittex,631 07 88 94,"Avinguda de Xàtiva, 94, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=8020157278928090938
Texlun S.L.,965 59 20 11,"Avinguda de Xàtiva, 23, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2614807494642896492
Textiles Faissal,966 26 32 30,"Bañeres de Mariola 9, Pol. Ind. El Algars, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2905792086712198015
JM S.L. Comercial De Hilados,,"Via Polígon Algars, 95-97, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=11824464603174686833
Têla Home,965 59 27 61,"Carretera Serelles, 14, AP: 171, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2166710330993233202
Raul Tolosa TEJIDOS,965 33 75 40,"Polígon Cotes Baixes Carrer F, 13, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=7499411110076961705
Tejidos El Almacén,965 59 13 26,"Av. del País Valencià, 51, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=17948261410425555351
Lucia Entre Tela,697 83 71 72,"Carrer d'Ausiàs March, 22, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=5399919631361928449
Francisco Albero Almacen De Tejidos,,"Avinguda de Xàtiva, 21, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=4980276448842258106
Confecciones Catalina,,"Carrer Sabadell, 15, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=14898688487487457186
Chinchilla Textil Hogar S.L.,965 54 50 40,"Carretera de Alicante Nº82, 03801 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=17556120887982239636
Confeccions Espinós,962 35 02 02,"Carrer Joan Beneyto Bernàcer, 29B, 46880 Bocairent, Valencia, Spain",no_website,,https://maps.google.com/?cid=11003432257683727233
Muestrarios Angel López,965 54 81 32,"Calle Fila Cordón, 12, Pol. Id. Cotes Altes, Carrer Filà Cordón, 4, 03804 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=14441586344702242846
Creaciones Germanísimo,627 07 25 88,"Carrer Azorín, 3, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3247370759747295999
Confecciones la Madrileña,965 33 15 99,"C/ Na Saurina d'Entença, 4, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=6507957006707692400
Muestrarios Textiles F&F,657 96 21 48,"Av. d'Alacant, 11, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=11483739917193331906
Urdidos Romá e Hijos,966 51 68 24,"Carrer de Sant Lorenç, 2, 03829 L'Alqueria d'Asnar, Alicante, Spain",no_website,,https://maps.google.com/?cid=17360872569564145794
Tot a Mida Alcoi Rebeca Corec,603 52 78 17,"Carrer Murillo, 52, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=437550293306805675
Punt Dior Coop Valentín,966 50 11 03,"Carrer Riu Penàguila, 16, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=3665150600967680542
Tienda & Showroom - KA International & Jover Textiles - Cocentaina,966 52 07 09,"Av. d'Alacant, 67, 03820 Cocentaina, Alicante, Spain",broken_website,http://www.ka-international.com/,https://maps.google.com/?cid=2965650192007559275
Kimbatex Textil Hogar Tienda,682 34 46 57,"Avinguda de Xàtiva, 86, 03820 Cocentaina, Alicante, Spain",broken_website,https://www.amazon.es/s?me=ALRPMYJ5QHTD9&marketplaceID=A1RKKUPIHCS9HS,https://maps.google.com/?cid=13751820917465121841
Mubetex,965 53 19 58,"Pda Alt dels canons s/n, 03830 Muro de Alcoy, Alicante, Spain",broken_website,http://www.mubetex.com/,https://maps.google.com/?cid=3610710424071210676
RIZZOLO S.L.U.,965 59 19 08,"Carrer de Benifleta, 18A, 03820 Cocentaina, Alicante, Spain",redirected_domain,http://www.rizzolo.es/,https://maps.google.com/?cid=403746457877694290
Clothmen,966 50 11 44,"Av del, Passeig del Comtat, 73, 03820 Cocentaina, Alicante, Spain",redirected_domain,https://www.google.com/url?q=https://www.instagram.com/clothmen_blazier/&sa=U&sqi=2&ved=2ahUKEwidtPWc7sqNAxWrTqQEHcrWKJkQFnoECCQQAQ&usg=AOvVaw0zzj-ziGwnDknhnhkeB6D6,https://maps.google.com/?cid=3994034237603369012
